Technique,Size (KB),Size change (%),Test MAE,Test RMSE,Test MAPE (%),MAE change vs baseline (%),Trees,Nodes,Leaves
"Baseline (full precision, 122 trees)",118.1845703125,0.0,29690.637606534092,35013.99343976295,4.881103578238804,0.0,122,854,488
Technique 1: Tree reduction (86/122 trees),62.48046875,-47.13314218193537,28089.928089488636,33802.8772629753,4.62054470560905,-5.391293842383445,86,602,344
Technique 2: Precision reduction (-2 decimals),95.515625,-19.180968592227796,29746.201231060608,35070.68487859642,4.890069911827717,0.18714190399969013,122,854,488
Combination: Tree + Precision reduction,67.6884765625,-42.726468959932575,28144.915956439392,33861.443429236555,4.629940139094741,-5.206091127374539,86,602,344
