date,rsi_mom_change,rsi_volume
2024-01-01,3.4,100.6
2024-02-01,-0.3,100.3
2024-03-01,-0.2,100.1
2024-04-01,-1.7,98.5
2024-05-01,2.9,101.3
2024-06-01,-1.5,99.8
2024-07-01,0.5,100.2
2024-08-01,0.6,100.9
2024-09-01,-0.2,100.7
2024-10-01,-0.7,100.0
2024-11-01,0.1,100.1
2024-12-01,-0.1,100.1
