date,nd_total_mwh,is_holiday,min_temp °c,max_temp °c,rain mm,humidity %,cloud_cover %,wind_speed km/h,StringencyIndex_Average,is_weekend,hdd,month_sin,month_cos,dow_sin,dow_cos,demand_lag_1,demand_lag_7,demand_roll_mean_7,demand_roll_mean_30,demand_roll_std_7,hdd_x_weekend
2009-01-31,930716.5,0,0.5980056159331649,5.629310991842077,0.0,74.36424667003845,42.751557271675146,26.191000230754724,0.0,1,9.870689008157923,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1038115.0,946736.0,1014553.0,1022958.4333333333,61103.18050982853,9.870689008157923
2009-02-01,945340.5,0,-1.0753913763627991,2.4484856828803108,0.3124225597841601,78.79118644502248,60.49355649396903,25.425442020693424,0.0,1,13.05151431711969,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,930716.5,907956.0,1012264.5,1024160.3,64283.67422085764,13.05151431711969
2009-02-02,1086613.5,0,-0.99949051397695,1.2825684721922732,5.037743189908065,86.74654295123614,94.98107268798395,22.26112140649,0.0,0,14.217431527807726,0.8660254037844386,0.5000000000000001,0.0,1.0,945340.5,1042551.5,1017605.1428571428,1023659.6333333333,55065.48521057643,0.0
2009-02-03,1096825.0,0,-2.1131533665725044,2.733310759857972,1.6174914109329794,89.6578385209913,60.260812278757605,18.98176796413848,0.0,0,12.766689240142028,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1086613.5,1058674.5,1023899.7142857143,1028251.9,60629.65058922445,0.0
2009-02-04,1102287.0,0,-1.573335068399044,2.9623306128781546,0.2842075268699554,90.76555647356132,55.8985758917496,12.61361781116666,0.0,0,12.537669387121845,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1096825.0,1059133.0,1029349.7857142857,1032955.95,65773.11483226341,0.0
2009-02-05,1104667.0,0,-1.4559539390458385,2.717375283648821,3.6918546870992985,94.53955754656464,83.67609494468894,13.390127250719129,0.0,0,12.78262471635118,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1102287.0,1048705.0,1035514.6428571428,1033338.0833333334,70855.9276958736,0.0
2009-02-06,1087586.5,0,-1.4060904801935734,2.2428329727970056,3.84724273768044,92.70262310155988,62.46222625383905,16.363116623462137,0.0,0,13.257167027202994,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1104667.0,1038115.0,1043509.2142857143,1032380.55,75591.05514590623,0.0
2009-02-07,978165.0,0,-2.604710688037562,2.8422214266764265,0.1095703816046317,90.90299895699356,47.13646288229739,16.373419646705543,0.0,1,12.657778573323574,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1087586.5,930716.5,1050576.5714285714,1030647.7166666667,77296.10007164475,12.657778573323574
2009-02-08,967026.0,0,-3.482280339205756,2.8965898736172235,2.199385056179002,89.70103246757078,56.48718151053493,12.26210302073547,0.0,1,12.603410126382776,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,978165.0,945340.5,1057354.9285714286,1026318.6166666667,66336.89093397216,12.603410126382776
2009-02-09,1092896.0,0,-0.4616558673783632,4.058289387077588,9.750211584071556,96.56297646178876,81.94097493625047,15.687523143088336,0.0,0,11.441710612922412,0.8660254037844386,0.5000000000000001,0.0,1.0,967026.0,1086613.5,1060452.857142857,1021781.3833333333,60481.95542385232,0.0
