date,nd_total_mwh,is_holiday,min_temp °c,max_temp °c,rain mm,humidity %,cloud_cover %,wind_speed km/h,pmi,rsi_mom_change,rsi_volume,StringencyIndex_Average
2009-01-01,894660.5,1,-3.191594513299316,1.3901566636481275,0.0,86.1806815175424,34.50243062359835,7.647022000870893,34.9,0.8,87.1,0.0
2009-01-02,960360.5,0,-1.165751106012187,3.982249712263489,0.0575347625783453,88.74830975545409,42.802862901451135,12.022056946012246,34.9,0.8,87.1,0.0
2009-01-03,948845.5,0,-2.924494613960993,2.265193391391238,0.0,82.75106587291303,15.20329670988267,9.317808342158235,34.9,0.8,87.1,0.0
2009-01-04,955703.5,0,-2.504721666405628,1.1028311188911777,0.2593933077810689,83.71474468594123,58.94931502298081,12.398495198285556,34.9,0.8,87.1,0.0
2009-01-05,1090823.0,0,-2.1942771906393,2.385938428566476,1.1400701459938545,85.84560087079481,38.27447235602664,16.322209493694384,34.9,0.8,87.1,0.0
2009-01-06,1133393.0,0,-4.013486980491452,0.9274823313431302,0.2323643796582764,79.15907575418193,17.692968653378376,11.524674635224358,34.9,0.8,87.1,0.0
2009-01-07,1139571.5,0,-2.520569579987062,2.528205554390376,0.1302956027025718,92.19297976390484,76.73877610927619,10.413660805676985,34.9,0.8,87.1,0.0
2009-01-08,1108038.0,0,-1.0062859609170096,4.319051553211646,0.0,93.18041594061502,36.50293898781168,8.378728772593863,34.9,0.8,87.1,0.0
2009-01-09,1103143.0,0,-2.3288061190694376,2.0955804477108813,0.0,85.76317401094492,10.428447041606416,9.103001295890008,34.9,0.8,87.1,0.0
2009-01-10,1008678.0,0,-3.3775739078982534,3.1989536926779816,0.440861541264526,83.07959558113923,27.958829152742908,17.913276608896435,34.9,0.8,87.1,0.0
2009-01-11,939733.0,0,2.952745563227164,8.511510720566971,2.2606452766339755,81.86780093206714,58.03658181564259,33.5045951477826,34.9,0.8,87.1,0.0
2009-01-12,1046679.0,0,6.541742954850508,9.744644787709342,6.104109399560718,89.62795141992221,81.03003284413003,29.17386782966884,34.9,0.8,87.1,0.0
2009-01-13,1050610.5,0,1.9078334651639048,7.633755878590313,1.1925726606917133,93.73319184802692,66.20305493683566,14.710316472666324,34.9,0.8,87.1,0.0
2009-01-14,1075519.5,0,-0.2550463919033982,4.953700607486091,1.0359362018510043,92.25730603940558,48.70878658544232,13.722088113881943,34.9,0.8,87.1,0.0
2009-01-15,1052390.5,0,4.416613009329277,6.406799356370121,1.2458923784308629,88.643656663894,87.92570538473586,27.08029016576721,34.9,0.8,87.1,0.0
2009-01-16,1019536.5,0,5.092160188159148,7.964543636124019,1.0944661479623388,90.82238488019318,91.20220222313796,23.6892416172845,34.9,0.8,87.1,0.0
2009-01-17,901987.0,0,5.638984218811046,8.15951874608596,7.21426229853834,86.94757125428039,72.92342199482233,31.51865105484537,34.9,0.8,87.1,0.0
2009-01-18,893316.5,0,2.794976917151309,6.453265283843063,2.2126886177066694,85.14870085827972,43.48955525991686,25.44809142054673,34.9,0.8,87.1,0.0
2009-01-19,1048520.0,0,1.377816756653223,5.199204470937321,7.92842429806675,92.22416862527474,70.04964114075202,24.046612838445384,34.9,0.8,87.1,0.0
2009-01-20,1062207.0,0,1.068597650555471,5.034583749581088,1.249223202086308,87.00608520307767,44.34268411940334,20.985386415197706,34.9,0.8,87.1,0.0
2009-01-21,1070066.5,0,0.5183445088120766,5.259981325095173,1.9785522074264912,89.13780223090765,51.98018986983073,20.77606962867053,34.9,0.8,87.1,0.0
2009-01-22,1047024.5,0,3.2438949577941374,8.627944074373588,7.435752507813327,89.40437624736022,76.977148382418,26.831906770419828,34.9,0.8,87.1,0.0
2009-01-23,1036075.0,0,1.546373370486852,4.826926181108896,6.854230293767852,92.7900406162737,60.32281696134508,20.50047527851001,34.9,0.8,87.1,0.0
2009-01-24,946736.0,0,0.5461059033869188,5.354042212378436,0.3233689347589886,89.84108094573293,33.84606998703495,15.700993204230349,34.9,0.8,87.1,0.0
2009-01-25,907956.0,0,3.443830940876878,6.524614303375215,6.4042832324298775,92.92754595178518,72.47902927314844,25.774099776892022,34.9,0.8,87.1,0.0
2009-01-26,1042551.5,0,2.4510349416990875,6.781239911396087,0.2809481286861439,93.48423199615252,63.76937402279616,8.578380154085638,34.9,0.8,87.1,0.0
2009-01-27,1058674.5,0,1.6390655269653551,6.46662539226459,1.5047319855183892,93.76685512967627,57.15432934649328,13.90691819136488,34.9,0.8,87.1,0.0
